"th","generic_name","manufacturer","Drugregistration","Trade_name","Year_published","Volume_no","Remark"
"1","Abacavir + Lamivudine (ABC+3TC) tablets","Mylan Laboratories Limited (Republic of India)","2C 10/56(NG)","ABACAVIR SULFATE/LAMIVUDINE TABLETS 600 MG/300 MG","2564","2021",
"2","Acyclovir tablets","Bangkok Lab & Cosmetic Co., Ltd.","1A 394/48","VIZO 400","2561","2018",
"3","Acyclovir tablets","Community Pharmacy Public Co., Ltd.","1A 909/42","COVIR","2561","2018",
"4","Acyclovir tablets","Pharmasant Laboratories Co., Ltd.","1A 190/38","ACYVIR","2561","2018",
"5","Acyclovir tablets","Polipharm Co., Ltd.","1A 150/42","HERPENON TAB","2561","2018",
"6","Acyclovir tablets","Siam Bheasach Co., Ltd.","1A 302/39","VILERM (800 MGTABLET)","2561","2018",
"7","Acyclovir tablets","Siam Bheasach Co., Ltd.","1A 304/39","VILERM (400 MG TABLET)","2561","2018",
"8","Acyclovir tablets","Siam Bheasach Co., Ltd.","1A 305/39","VILERM (200 MG TABLET)","2561","2018",
"9","Albendazole tablets","Forty Two Siam Medicare Co., Ltd.","1A 11/31","ALBENZ","2563","2020",
"10","Albendazole tablets","The Government Pharmaceutical Organization (GPO)","1A 1044/44","FALBEN","2563","2020",
"11","Alendronate sodium tablets","Cadila Healthcare Ltd. (Republic of India)","1C 27/52(NG)","ALDREN 70 TABLETS","2563","2020",
"12","Alendronate sodium tablets","Cadila Healthcare Ltd. (Republic of India)","1C 27/52(NG)","ALDREN 70 TABLETS","2566","2023",
"13","Allopurinol tablets","Aspen Bad Oldesloe GmbH (Federal Republic of Germany)","1C 59/55","ZYLORIC (TABLETS 100 MG)","2561","2018",
"14","Allopurinol tablets","Aspen Bad Oldesloe GmbH (Federal Republic of Germany)","1C 60/55","ZYLORIC (TABLETS 300 MG)","2561","2018",
"15","Allopurinol tablets","Community Pharmacy Public Co., Ltd.","1A 77/32","ALLOPURINOL TABLET","2561","2018",
"16","Allopurinol tablets","Polipharm Co., Ltd.","1A 1461/28","PURIDE","2561","2018",
"17","Allopurinol tablets","Pondโ€s Chemical (Thailand) R.O.P.","1A 2469/28","XANDASE","2561","2018",
"18","Allopurinol tablets","T.O. Pharma Co., Ltd.","1A 499/38","ALLORIC","2561","2018",
"19","Allopurinol tablets","The Government Pharmaceutical Organization (GPO)","1A 256/45","ALLOPURINOL TABLETS (100 MG)","2561","2018",
"20","Alprazolam tablets","Pharmasant Laboratories Co., Ltd.","-","ALPRAZOLAM (1.0 MG)","2562","2019",
"21","Alprazolam tablets","Polipharm Co., Ltd.","-","ALPRAZOLAM 0.5 MG","2562","2019",
"22","Alprazolam tablets","Pharmasant Laboratories Co., Ltd.","-","ALPRAZOLAM (0.25 MG)","2562","2019",
"23","Alprazolam tablets","Pharmasant Laboratories Co., Ltd.","-","ALPRAZOLAM (0.5 MG)","2562","2019",
"24","Amiodarone hydrochloride sterile solution","Sanofi Winthrop Industrie (French Republic)","1C 369/49","CORDARONE","2565","2022",
"25","Amiodarone hydrochloride tablets","Cadila Healthcare Ltd. (Republic of India)","1C 217/59","ZYDARONE 200 TABLETS","2564","2021",
"26","Amiodarone hydrochloride tablets","Sanofi Winthrop Industrie (French Republic)","1C 346/49","CORDARONE","2564","2021",
"27","Amiodarone hydrochloride tablets","Troikaa Pharmaceutical Ltd. (Republic of India)","1C 189/46","EURYTHMIC-200","2564","2021",
"28","Amitriptyline hydrochloride tablets","New Life Pharma Co., Ltd.","1A 327/45","TRIPNATOL FC-10","2562","2019",
"29","Amitriptyline hydrochloride tablets","New Life Pharma Co., Ltd.","1A 328/45","TRIPNATOL FC-25","2562","2019",
"30","Amitriptyline hydrochloride tablets","New Life Pharma Co., Ltd.","1A 571/41","TRIPNATOL","2562","2019",
"31","Amitriptyline hydrochloride tablets","New Life Pharma Co., Ltd.","1A 572/41","TRIPNATOL-25","2562","2019",
"32","Amitriptyline hydrochloride tablets","Pharmasant Laboratories Co., Ltd.","1A 200/35","POLYTANOL 25","2562","2019",
"33","Amitriptyline hydrochloride tablets","Pharmasant Laboratories Co., Ltd.","1A 304/35","POLYTANOL 10","2562","2019",
"34","Amitriptyline hydrochloride tablets","Polipharm Co., Ltd.","1A 786/43","TRIPSYLINE 10","2562","2019",
"35","Amitriptyline hydrochloride tablets","Polipharm Co., Ltd.","1A 787/43","TRIPSYLINE 25","2562","2019",
"36","Amitriptyline hydrochloride tablets","T. Man Pharma Co., Ltd.","1A 411/50","AMITRYN","2562","2019",
"37","Amitriptyline hydrochloride tablets","T.P. Drug Laboratories (1969) Co., Ltd.","1A 537/56","MEDEPRESS 10","2562","2019",
"38","Amitriptyline hydrochloride tablets","T.P. Drug Laboratories (1969) Co., Ltd.","1A 541/56","MEDEPRESS 25","2562","2019",
"39","Amitriptyline hydrochloride tablets","The Government Pharmaceutical Organization (GPO)","1A 119/45","AMITRIPTYLINE HYDROCHLORIDE TABLETS 10 MG","2562","2019",
